BookingID,TableNumber,BookingDate,CustomerID
1,13,2019-06-14,OQA-AAT-676
2,13,2019-06-14,OQA-AAT-676
3,13,2019-06-14,OQA-AAT-676
4,13,2019-06-14,OQA-AAT-676
5,13,2019-06-14,OQA-AAT-676
6,13,2019-06-14,OQA-AAT-676
7,13,2019-06-14,OQA-AAT-676
8,13,2019-06-14,OQA-AAT-676
9,13,2019-06-14,OQA-AAT-676
10,13,2019-06-14,OQA-AAT-676
11,13,2019-06-14,OQA-AAT-676
12,13,2019-06-14,OQA-AAT-676
13,13,2019-06-14,OQA-AAT-676
14,13,2019-06-14,OQA-AAT-676
15,13,2019-06-14,OQA-AAT-676
16,13,2019-06-14,OQA-AAT-676
17,13,2019-06-14,OQA-AAT-676
18,13,2019-06-14,OQA-AAT-676
19,13,2019-06-14,OQA-AAT-676
20,13,2019-06-14,OQA-AAT-676
21,13,2019-06-14,OQA-AAT-676
22,15,2019-06-23,OQA-AAT-676
23,15,2019-06-23,OQA-AAT-676
24,15,2019-06-23,OQA-AAT-676
25,15,2019-06-23,OQA-AAT-676
26,15,2019-06-23,OQA-AAT-676
27,15,2019-06-23,OQA-AAT-676
28,15,2019-06-23,OQA-AAT-676
29,15,2019-06-23,OQA-AAT-676
30,15,2019-06-23,OQA-AAT-676
31,15,2019-06-23,OQA-AAT-676
32,15,2019-06-23,OQA-AAT-676
33,15,2019-06-23,OQA-AAT-676
34,15,2019-06-23,OQA-AAT-676
35,15,2019-06-23,OQA-AAT-676
36,15,2019-06-23,OQA-AAT-676
37,15,2019-06-23,OQA-AAT-676
38,15,2019-06-23,OQA-AAT-676
39,15,2019-06-23,OQA-AAT-676
40,15,2019-06-23,OQA-AAT-676
41,15,2019-06-23,OQA-AAT-676
42,15,2019-06-23,OQA-AAT-676
43,3,2019-06-26,OQA-AAT-676
44,19,2019-06-26,OQA-AAT-676
45,11,2019-06-26,OQA-AAT-676
46,3,2019-06-26,OQA-AAT-676
47,19,2019-06-26,OQA-AAT-676
48,11,2019-06-26,OQA-AAT-676
49,3,2019-06-26,OQA-AAT-676
50,19,2019-06-26,JZS-OIC-649
51,11,2019-06-26,JZS-OIC-649
52,3,2019-06-26,JZS-OIC-649
53,19,2019-06-26,JZS-OIC-649
54,11,2019-06-26,JZS-OIC-649
55,3,2019-06-26,QAK-YEA-563
56,19,2019-06-26,QAK-YEA-563
57,11,2019-06-26,QAK-YEA-563
58,3,2019-06-26,QAK-YEA-563
59,19,2019-06-26,QAK-YEA-563
60,11,2019-06-26,QAK-YEA-563
61,3,2019-06-26,QAK-YEA-563
62,19,2019-06-26,QAK-YEA-563
63,11,2019-06-26,QAK-YEA-563
64,3,2019-06-26,QAK-YEA-563
65,19,2019-06-26,QAK-YEA-563
66,11,2019-06-26,QAK-YEA-563
67,3,2019-06-26,QAK-YEA-563
68,19,2019-06-26,QAK-YEA-563
69,11,2019-06-26,QAK-YEA-563
70,3,2019-06-26,QAK-YEA-563
71,19,2019-06-26,QAK-YEA-563
72,11,2019-06-26,QAK-YEA-563
73,3,2019-06-26,QAK-YEA-563
74,19,2019-06-26,QAK-YEA-563
75,11,2019-06-26,QAK-YEA-563
76,3,2019-06-26,QAK-YEA-563
77,19,2019-06-26,QAK-YEA-563
78,11,2019-06-26,QAK-YEA-563
79,3,2019-06-26,QAK-YEA-563
80,19,2019-06-26,QAK-YEA-563
81,11,2019-06-26,QAK-YEA-563
82,3,2019-06-26,QAK-YEA-563
83,19,2019-06-26,QAK-YEA-563
84,11,2019-06-26,QAK-YEA-563
85,3,2019-06-26,QAK-YEA-563
86,19,2019-06-26,QAK-YEA-563
87,11,2019-06-26,QAK-YEA-563
88,3,2019-06-26,QAK-YEA-563
89,19,2019-06-26,QAK-YEA-563
90,11,2019-06-26,QAK-YEA-563
91,3,2019-06-26,QAK-YEA-563
92,19,2019-06-26,QAK-YEA-563
93,11,2019-06-26,QAK-YEA-563
94,3,2019-06-26,QAK-YEA-563
95,19,2019-06-26,QAK-YEA-563
96,11,2019-06-26,QAK-YEA-563
97,3,2019-06-26,QAK-YEA-563
98,19,2019-06-26,QAK-YEA-563
99,11,2019-06-26,QAK-YEA-563
100,3,2019-06-26,QAK-YEA-563
101,19,2019-06-26,QAK-YEA-563
102,11,2019-06-26,QAK-YEA-563
103,3,2019-06-26,QAK-YEA-563
104,19,2019-06-26,QAK-YEA-563
105,11,2019-06-26,QAK-YEA-563
106,12,2019-06-27,QAK-YEA-563
107,1,2019-06-27,QAK-YEA-563
