BookingID,Order ID,MenuID, Cost,Sales,Quantity
1,Order_M12_BID_1,M12,144.09,216.14,2
2,Order_M12_BID_2,M12,125,187.5,2
3,Order_M12_BID_3,M12,168.27,252.41,2
4,Order_M12_BID_4,M12,69.38,104.07,2
5,Order_M12_BID_5,M12,190,285,2
6,Order_M12_BID_6,M12,52.08,78.12,2
7,Order_M12_BID_7,M12,310,465,2
8,Order_M12_BID_8,M12,91.84,137.76,2
9,Order_M12_BID_9,M12,320,480,2
10,Order_M12_BID_10,M12,93.13,139.7,2
11,Order_M12_BID_11,M12,75,112.5,2
12,Order_M12_BID_12,M12,144.09,216.14,2
13,Order_M12_BID_13,M12,125,187.5,2
14,Order_M12_BID_14,M12,168.27,252.41,2
15,Order_M12_BID_15,M12,69.38,104.07,2
16,Order_M12_BID_16,M12,190,285,2
17,Order_M12_BID_17,M12,52.08,78.12,2
18,Order_M12_BID_18,M12,310,465,2
19,Order_M12_BID_19,M12,91.84,137.76,2
20,Order_M12_BID_20,M12,320,480,2
21,Order_M12_BID_21,M12,93.13,139.7,2
22,Order_M45_BID_22,M45,168.27,252.41,2
23,Order_M45_BID_23,M45,69.38,104.07,2
24,Order_M45_BID_24,M45,190,285,2
25,Order_M45_BID_25,M45,52.08,78.12,2
26,Order_M45_BID_26,M45,310,465,2
27,Order_M45_BID_27,M45,91.84,137.76,2
28,Order_M45_BID_28,M45,320,480,2
29,Order_M45_BID_29,M45,93.13,139.7,2
30,Order_M45_BID_30,M45,75,112.5,2
31,Order_M45_BID_31,M45,144.09,216.14,2
32,Order_M45_BID_32,M45,125,187.5,2
33,Order_M45_BID_33,M45,168.27,252.41,2
34,Order_M45_BID_34,M45,69.38,104.07,2
35,Order_M45_BID_35,M45,190,285,2
36,Order_M45_BID_36,M45,52.08,78.12,2
37,Order_M45_BID_37,M45,310,465,2
38,Order_M45_BID_38,M45,91.84,137.76,2
39,Order_M45_BID_39,M45,320,480,2
40,Order_M45_BID_40,M45,93.13,139.7,2
41,Order_M45_BID_41,M45,75,112.5,2
42,Order_M45_BID_42,M45,144.09,216.14,2
43,Order_M39_BID_43,M39,320,480,3
44,Order_M44_BID_44,M44,190,285,3
45,Order_M43_BID_45,M43,93.13,139.7,3
46,Order_M39_BID_46,M39,93.13,139.7,3
47,Order_M44_BID_47,M44,52.08,78.12,3
48,Order_M43_BID_48,M43,75,112.5,3
49,Order_M39_BID_49,M39,75,112.5,3
50,Order_M44_BID_50,M44,310,465,3
51,Order_M43_BID_51,M43,144.09,216.14,3
52,Order_M39_BID_52,M39,144.09,216.14,3
53,Order_M44_BID_53,M44,91.84,137.76,3
54,Order_M43_BID_54,M43,125,187.5,3
55,Order_M39_BID_55,M39,125,187.5,3
56,Order_M44_BID_56,M44,320,480,3
57,Order_M43_BID_57,M43,168.27,252.41,3
58,Order_M39_BID_58,M39,168.27,252.41,3
59,Order_M44_BID_59,M44,93.13,139.7,3
60,Order_M43_BID_60,M43,69.38,104.07,3
61,Order_M39_BID_61,M39,69.38,104.07,3
62,Order_M44_BID_62,M44,75,112.5,3
63,Order_M43_BID_63,M43,190,285,3
64,Order_M39_BID_64,M39,190,285,3
65,Order_M44_BID_65,M44,144.09,216.14,3
66,Order_M43_BID_66,M43,52.08,78.12,3
67,Order_M39_BID_67,M39,52.08,78.12,3
68,Order_M44_BID_68,M44,125,187.5,3
69,Order_M43_BID_69,M43,310,465,3
70,Order_M39_BID_70,M39,310,465,3
71,Order_M44_BID_71,M44,168.27,252.41,3
72,Order_M43_BID_72,M43,91.84,137.76,3
73,Order_M39_BID_73,M39,91.84,137.76,3
74,Order_M44_BID_74,M44,69.38,104.07,3
75,Order_M43_BID_75,M43,320,480,3
76,Order_M39_BID_76,M39,320,480,3
77,Order_M44_BID_77,M44,190,285,3
78,Order_M43_BID_78,M43,93.13,139.7,3
79,Order_M39_BID_79,M39,93.13,139.7,3
80,Order_M44_BID_80,M44,52.08,78.12,3
81,Order_M43_BID_81,M43,75,112.5,3
82,Order_M39_BID_82,M39,75,112.5,3
83,Order_M44_BID_83,M44,310,465,3
84,Order_M43_BID_84,M43,144.09,216.14,3
85,Order_M39_BID_85,M39,144.09,216.14,3
86,Order_M44_BID_86,M44,91.84,137.76,3
87,Order_M43_BID_87,M43,125,187.5,3
88,Order_M39_BID_88,M39,125,187.5,3
89,Order_M44_BID_89,M44,320,480,3
90,Order_M43_BID_90,M43,168.27,252.41,3
91,Order_M39_BID_91,M39,168.27,252.41,3
92,Order_M44_BID_92,M44,93.13,139.7,3
93,Order_M43_BID_93,M43,69.38,104.07,3
94,Order_M39_BID_94,M39,69.38,104.07,3
95,Order_M44_BID_95,M44,75,112.5,3
96,Order_M43_BID_96,M43,190,285,3
97,Order_M39_BID_97,M39,190,285,3
98,Order_M44_BID_98,M44,144.09,216.14,3
99,Order_M43_BID_99,M43,52.08,78.12,3
100,Order_M39_BID_100,M39,52.08,78.12,3
101,Order_M44_BID_101,M44,125,187.5,3
102,Order_M43_BID_102,M43,310,465,3
103,Order_M39_BID_103,M39,310,465,3
104,Order_M44_BID_104,M44,168.27,252.41,3
105,Order_M43_BID_105,M43,91.84,137.76,3
106,Order_M65_BID_106,M65,225,337.5,3
107,Order_M1_BID_107,M1,190,285,2
108,Order_M65_BID_108,M65,133.17,199.76,3
109,Order_M1_BID_109,M1,52.08,78.12,2
110,Order_M65_BID_110,M65,210,315,3
111,Order_M1_BID_111,M1,310,465,2
112,Order_M65_BID_112,M65,44.57,66.86,3
113,Order_M1_BID_113,M1,91.84,137.76,2
114,Order_M65_BID_114,M65,220,330,3
115,Order_M1_BID_115,M1,320,480,2
116,Order_M65_BID_116,M65,101.6,152.4,3
117,Order_M1_BID_117,M1,93.13,139.7,2
118,Order_M65_BID_118,M65,235,352.5,3
119,Order_M1_BID_119,M1,75,112.5,2
120,Order_M65_BID_120,M65,124.62,186.93,3
121,Order_M1_BID_121,M1,144.09,216.14,2
122,Order_M65_BID_122,M65,119.8,179.7,3
123,Order_M1_BID_123,M1,125,187.5,2
124,Order_M65_BID_124,M65,98,147,3
125,Order_M1_BID_125,M1,168.27,252.41,2
126,Order_M65_BID_126,M65,83.99,125.99,3
127,Order_M1_BID_127,M1,69.38,104.07,2
128,Order_M65_BID_128,M65,225,337.5,3
129,Order_M1_BID_129,M1,190,285,2
130,Order_M65_BID_130,M65,133.17,199.76,3
131,Order_M1_BID_131,M1,52.08,78.12,2
132,Order_M65_BID_132,M65,210,315,3
133,Order_M1_BID_133,M1,310,465,2
134,Order_M65_BID_134,M65,44.57,66.86,3
135,Order_M1_BID_135,M1,91.84,137.76,2
136,Order_M65_BID_136,M65,220,330,3
137,Order_M1_BID_137,M1,320,480,2
138,Order_M65_BID_138,M65,101.6,152.4,3
139,Order_M1_BID_139,M1,93.13,139.7,2
140,Order_M65_BID_140,M65,235,352.5,3
141,Order_M1_BID_141,M1,75,112.5,2
142,Order_M65_BID_142,M65,124.62,186.93,3
143,Order_M1_BID_143,M1,144.09,216.14,2
144,Order_M65_BID_144,M65,119.8,179.7,3
145,Order_M1_BID_145,M1,125,187.5,2
146,Order_M65_BID_146,M65,98,147,3
147,Order_M1_BID_147,M1,168.27,252.41,2
148,Order_M8_BID_148,M8,75,112.5,2
149,Order_M57_BID_149,M57,98,147,3
150,Order_M8_BID_150,M8,144.09,216.14,2
151,Order_M57_BID_151,M57,83.99,125.99,3
152,Order_M8_BID_152,M8,125,187.5,2
153,Order_M57_BID_153,M57,225,337.5,3
154,Order_M8_BID_154,M8,168.27,252.41,2
155,Order_M57_BID_155,M57,133.17,199.76,3
156,Order_M8_BID_156,M8,69.38,104.07,2
157,Order_M57_BID_157,M57,210,315,3
158,Order_M8_BID_158,M8,190,285,2
159,Order_M57_BID_159,M57,44.57,66.86,3
160,Order_M8_BID_160,M8,52.08,78.12,2
161,Order_M57_BID_161,M57,220,330,3
162,Order_M8_BID_162,M8,310,465,2
163,Order_M57_BID_163,M57,101.6,152.4,3
164,Order_M8_BID_164,M8,91.84,137.76,2
165,Order_M57_BID_165,M57,235,352.5,3
166,Order_M8_BID_166,M8,320,480,2
167,Order_M57_BID_167,M57,124.62,186.93,3
168,Order_M8_BID_168,M8,93.13,139.7,2
169,Order_M57_BID_169,M57,119.8,179.7,3
170,Order_M8_BID_170,M8,75,112.5,2
171,Order_M57_BID_171,M57,98,147,3
172,Order_M8_BID_172,M8,144.09,216.14,2
173,Order_M57_BID_173,M57,83.99,125.99,3
174,Order_M8_BID_174,M8,125,187.5,2
175,Order_M57_BID_175,M57,225,337.5,3
176,Order_M8_BID_176,M8,168.27,252.41,2
177,Order_M57_BID_177,M57,133.17,199.76,3
178,Order_M8_BID_178,M8,69.38,104.07,2
179,Order_M57_BID_179,M57,210,315,3
180,Order_M8_BID_180,M8,190,285,2
181,Order_M57_BID_181,M57,44.57,66.86,3
182,Order_M8_BID_182,M8,52.08,78.12,2
183,Order_M57_BID_183,M57,220,330,3
184,Order_M8_BID_184,M8,310,465,2
185,Order_M57_BID_185,M57,101.6,152.4,3
186,Order_M8_BID_186,M8,91.84,137.76,2
187,Order_M57_BID_187,M57,235,352.5,3
188,Order_M8_BID_188,M8,320,480,2
189,Order_M57_BID_189,M57,124.62,186.93,3
190,Order_M21_BID_190,M21,98,147,1
191,Order_M21_BID_191,M21,83.99,125.99,1
192,Order_M21_BID_192,M21,225,337.5,1
193,Order_M21_BID_193,M21,133.17,199.76,1
194,Order_M21_BID_194,M21,210,315,1
195,Order_M21_BID_195,M21,44.57,66.86,1
196,Order_M21_BID_196,M21,220,330,1
197,Order_M21_BID_197,M21,101.6,152.4,1
198,Order_M21_BID_198,M21,235,352.5,1
199,Order_M21_BID_199,M21,124.62,186.93,1
200,Order_M21_BID_200,M21,119.8,179.7,1
201,Order_M21_BID_201,M21,98,147,1
202,Order_M21_BID_202,M21,83.99,125.99,1
203,Order_M21_BID_203,M21,225,337.5,1
204,Order_M21_BID_204,M21,133.17,199.76,1
205,Order_M21_BID_205,M21,210,315,1
206,Order_M21_BID_206,M21,44.57,66.86,1
207,Order_M21_BID_207,M21,220,330,1
208,Order_M21_BID_208,M21,101.6,152.4,1
209,Order_M21_BID_209,M21,235,352.5,1
210,Order_M21_BID_210,M21,124.62,186.93,1
211,Order_M27_BID_211,M27,44.57,66.86,1
212,Order_M18_BID_212,M18,69.38,104.07,2
213,Order_M27_BID_213,M27,220,330,1
214,Order_M18_BID_214,M18,190,285,2
215,Order_M27_BID_215,M27,101.6,152.4,1
216,Order_M18_BID_216,M18,52.08,78.12,2
217,Order_M27_BID_217,M27,235,352.5,1
218,Order_M18_BID_218,M18,310,465,2
219,Order_M27_BID_219,M27,124.62,186.93,1
220,Order_M18_BID_220,M18,91.84,137.76,2
221,Order_M27_BID_221,M27,119.8,179.7,1
222,Order_M18_BID_222,M18,320,480,2
223,Order_M27_BID_223,M27,98,147,1
224,Order_M18_BID_224,M18,93.13,139.7,2
225,Order_M27_BID_225,M27,83.99,125.99,1
226,Order_M18_BID_226,M18,75,112.5,2
227,Order_M27_BID_227,M27,225,337.5,1
228,Order_M18_BID_228,M18,144.09,216.14,2
229,Order_M27_BID_229,M27,133.17,199.76,1
230,Order_M18_BID_230,M18,125,187.5,2
231,Order_M27_BID_231,M27,210,315,1
232,Order_M18_BID_232,M18,168.27,252.41,2
233,Order_M27_BID_233,M27,44.57,66.86,1
234,Order_M18_BID_234,M18,69.38,104.07,2
235,Order_M27_BID_235,M27,220,330,1
236,Order_M18_BID_236,M18,190,285,2
237,Order_M27_BID_237,M27,101.6,152.4,1
238,Order_M18_BID_238,M18,52.08,78.12,2
239,Order_M27_BID_239,M27,235,352.5,1
240,Order_M18_BID_240,M18,310,465,2
241,Order_M27_BID_241,M27,124.62,186.93,1
242,Order_M18_BID_242,M18,91.84,137.76,2
243,Order_M27_BID_243,M27,119.8,179.7,1
244,Order_M18_BID_244,M18,320,480,2
245,Order_M27_BID_245,M27,98,147,1
246,Order_M18_BID_246,M18,93.13,139.7,2
247,Order_M27_BID_247,M27,83.99,125.99,1
248,Order_M18_BID_248,M18,75,112.5,2
249,Order_M27_BID_249,M27,225,337.5,1
250,Order_M18_BID_250,M18,144.09,216.14,2
251,Order_M27_BID_251,M27,133.17,199.76,1
252,Order_M18_BID_252,M18,125,187.5,2
253,Order_M38_BID_253,M38,168.27,252.41,3
254,Order_M38_BID_254,M38,69.38,104.07,3
